ticker,year,entry_date,exit_date,reason,exit_price,shares,pnl,return_pct
AMKR,2026,2026-01-05,2026-02-04,hard_stop,43.85,185,-1223.37,-13.1
AMKR,2026,2026-02-09,2026-02-13,hard_stop,47.46,77,-426.73,-10.46
AMKR,2026,2026-04-08,2026-06-05,below_EMA50,64.92,113,871.37,13.48
AMKR,2026,2026-06-12,2026-07-02,hard_stop,69.62,21,-277.33,-15.95
AVGO,2026,2026-04-15,2026-06-05,below_EMA50,385.54,17,-452.91,-6.46
COHR,2026,2026-01-02,2026-01-08,hard_stop,173.06,15,-320.46,-10.99
COHR,2026,2026-01-21,2026-03-30,below_EMA50,219.54,33,-57.76,-0.79
COHR,2026,2026-04-08,2026-06-17,profit_lock,378.66,23,1534.41,21.39
COHR,2026,2026-06-22,2026-06-23,hard_stop,381.03,3,-133.99,-10.49
CRWD,2026,2026-05-12,2026-07-21,profit_lock,191.05,56,2091.7,24.3
MU,2026,2026-01-02,2026-03-25,below_EMA50,381.9,20,770.76,11.22
MU,2026,2026-04-14,2026-07-02,profit_lock,975.07,11,4078.0,61.34
ON,2026,2026-01-05,2026-03-04,below_EMA50,62.5,132,290.02,3.64
ON,2026,2026-04-08,2026-06-09,profit_lock,116.94,86,2504.86,33.17
QQQ,2026,2026-01-28,2026-02-03,below_EMA50,616.21,11,-190.57,-2.73
QQQ,2026,2026-04-16,2026-07-16,below_EMA50,705.59,16,969.68,9.4
TSM,2026,2026-01-02,2026-03-06,below_EMA50,338.72,27,472.05,5.44
TSM,2026,2026-04-08,2026-07-13,below_EMA50,421.37,23,1103.29,12.85
